"","title","author","subject","abstract","date"
"35","composed image retrieval with text feedback via multi-grained uncertainty regularization","yiyang chen, zhedong zheng, wei ji, leigang qu, tat-seng chua","computer vision and pattern recognition","we investigate composed image retrieval with text feedback. users gradually look for the target of interest by moving from coarse to fine-grained feedback. however, existing methods merely focus on the latter, i.e., fine-grained search, by harnessing positive and negative pairs during training. this pair-based paradigm only considers the one-to-one distance between a pair of specific points, which is not aligned with the one-to-many coarse-grained retrieval process and compromises the recall rate. in an attempt to fill this gap, we introduce a unified learning approach to simultaneously modeling the coarse- and fine-grained retrieval by considering the multi-grained uncertainty. the key idea underpinning the proposed method is to integrate fine- and coarse-grained retrieval as matching data points with small and large fluctuations, respectively. specifically, our method contains two modules: uncertainty modeling and uncertainty regularization. (1) the uncertainty modeling simulates the multi-grained queries by introducing identically distributed fluctuations in the feature space. (2) based on the uncertainty modeling, we further introduce uncertainty regularization to adapt the matching objective according to the fluctuation range. compared with existing methods, the proposed strategy explicitly prevents the model from pushing away potential candidates in the early stage, and thus improves the recall rate. on the three public datasets, i.e., fashioniq, fashion200k, and shoes, the proposed method has achieved +4.03%, +3.38%, and +2.40% recall@50 accuracy over a strong baseline, respectively.",2022-11-14
"36","partial visual-semantic embedding: fashion intelligence system with sensitive part-by-part learning","ryotaro shimizu, takuma nakamura, masayuki goto","computer vision and pattern recognition","in this study, we propose a technology called the fashion intelligence system based on the visual-semantic embedding (vse) model to quantify abstract and complex expressions unique to fashion, such as ''casual,'' ''adult-casual,'' and ''office-casual,'' and to support users' understanding of fashion. however, the existing vse model does not support the situations in which the image is composed of multiple parts such as hair, tops, pants, skirts, and shoes. we propose partial vse, which enables sensitive learning for each part of the fashion coordinates. the proposed model partially learns embedded representations. this helps retain the various existing practical functionalities and enables image-retrieval tasks in which changes are made only to the specified parts and image reordering tasks that focus on the specified parts. this was not possible with conventional models. based on both the qualitative and quantitative evaluation experiments, we show that the proposed model is superior to conventional models without increasing the computational complexity.",2022-11-12
"37","modelling the magnetic structure of a large-scale horse-shoe-like filament in a decaying and diffuse active region","kaifeng kang, yang guo, ilia i. roussev, rony keppens, jun lin","solar and stellar astrophysics","a large-scale, horse-shoe-like filament was investigated and the magnetic field around it was reconstructed. this is an intermediate filament (if) that appeared on the solar disk for the first time at 02:00 ut on 2015 november 7, and took 8 days to move to the central median on the solar disk. the active region ar 12452 around which the filament occurred was diffuse so that the magnetic field nearby was weak, the average field strength is 106 g. therefore, the existing approaches to extrapolating the coronal magnetic field and to constructing the filament configuration in the region with strong background field do not work well here. on the basis of the regularized biot-savart laws method, we successfully constructed a data-constrained, non-linear force-free field configuration for this if observed on 2015 november 14. the overall if configuration obtained in this way matches well the morphology suggested by a 304~å\ image taken by the atmospheric imaging assembly on board solar dynamics observatory. magnetic dips in the configuration were coincident in space with the h$\alpha$ features of the filament, which is lower in altitude than the features seen in 304~å. this suggests that the cold plasma fills the lower part of the filament, and hot plasma is situated in the higher region. a quasi-separatrix layer wraps the filament, and both the magnetic field and the electric current are stronger near the inner edge of the filament.",2022-11-09
"38","vinl: visual navigation and locomotion over obstacles","simar kareer, naoki yokoyama, dhruv batra, sehoon ha, joanne truong","robotics","we present visual navigation and locomotion over obstacles (vinl), which enables a quadrupedal robot to navigate unseen apartments while stepping over small obstacles that lie in its path (e.g., shoes, toys, cables), similar to how humans and pets lift their feet over objects as they walk. vinl consists of: (1) a visual navigation policy that outputs linear and angular velocity commands that guides the robot to a goal coordinate in unfamiliar indoor environments; and (2) a visual locomotion policy that controls the robot's joints to avoid stepping on obstacles while following provided velocity commands. both the policies are entirely ""model-free"", i.e. sensors-to-actions neural networks trained end-to-end. the two are trained independently in two entirely different simulators and then seamlessly co-deployed by feeding the velocity commands from the navigator to the locomotor, entirely ""zero-shot"" (without any co-training). while prior works have developed learning methods for visual navigation or visual locomotion, to the best of our knowledge, this is the first fully learned approach that leverages vision to accomplish both (1) intelligent navigation in new environments, and (2) intelligent visual locomotion that aims to traverse cluttered environments without disrupting obstacles. on the task of navigation to distant goals in unknown environments, vinl using just egocentric vision significantly outperforms prior work on robust locomotion using privileged terrain maps (+32.8% success and -4.42 collisions per meter). additionally, we ablate our locomotion policy to show that each aspect of our approach helps reduce obstacle collisions. videos and code at this http url",2022-10-26
"39","cross-modal fusion distillation for fine-grained sketch-based image retrieval","abhra chaudhuri, massimiliano mancini, yanbei chen, zeynep akata, anjan dutta","computer vision and pattern recognition","representation learning for sketch-based image retrieval has mostly been tackled by learning embeddings that discard modality-specific information. as instances from different modalities can often provide complementary information describing the underlying concept, we propose a cross-attention framework for vision transformers (xmodalvit) that fuses modality-specific information instead of discarding them. our framework first maps paired datapoints from the individual photo and sketch modalities to fused representations that unify information from both modalities. we then decouple the input space of the aforementioned modality fusion network into independent encoders of the individual modalities via contrastive and relational cross-modal knowledge distillation. such encoders can then be applied to downstream tasks like cross-modal retrieval. we demonstrate the expressive capacity of the learned representations by performing a wide range of experiments and achieving state-of-the-art results on three fine-grained sketch-based image retrieval benchmarks: shoe-v2, chair-v2 and sketchy. implementation is available at this https url.",2022-10-19
"40","walk a mile in their shoes: a new fairness criterion for machine learning","norman matloff","machine learning","the old empathetic adage, ``walk a mile in their shoes,'' asks that one imagine the difficulties others may face. this suggests a new ml counterfactual fairness criterion, based on a \textit{group} level: how would members of a nonprotected group fare if their group were subject to conditions in some protected group? instead of asking what sentence would a particular caucasian convict receive if he were black, take that notion to entire groups; e.g. how would the average sentence for all white convicts change if they were black, but with their same white characteristics, e.g. same number of prior convictions? we frame the problem and study it empirically, for different datasets. our approach also is a solution to the problem of covariate correlation with sensitive attributes.",2022-10-13
"41","enhancing fine-grained 3d object recognition using hybrid multi-modal vision transformer-cnn models","songsong xiong, georgios tziafas, hamidreza kasaei","computer vision and pattern recognition","robots operating in human-centered environments, such as retail stores, restaurants, and households, are often required to distinguish between similar objects in different contexts with a high degree of accuracy. however, fine-grained object recognition remains a challenge in robotics due to the high intra-category and low inter-category dissimilarities. in addition, the limited number of fine-grained 3d datasets poses a significant problem in addressing this issue effectively. in this paper, we propose a hybrid multi-modal vision transformer (vit) and convolutional neural networks (cnn) approach to improve the performance of fine-grained visual classification (fgvc). to address the shortage of fgvc 3d datasets, we generated two synthetic datasets. the first dataset consists of 20 categories related to restaurants with a total of 100 instances, while the second dataset contains 120 shoe instances. our approach was evaluated on both datasets, and the results indicate that it outperforms both cnn-only and vit-only baselines, achieving a recognition accuracy of 94.50 % and 93.51 % on the restaurant and shoe datasets, respectively. additionally, we have made our fgvc rgb-d datasets available to the research community to enable further experimentation and advancement. furthermore, we successfully integrated our proposed method with a robot framework and demonstrated its potential as a fine-grained perception tool in both simulated and real-world robotic scenarios.",2022-10-03
"42","a survey: implementations of non-fungible token system in different fields","a. n. m. sajedul alam, junaid bin kibria, al hasib mahamud, arnob kumar dey, hasan muhammed zahidul amin, md sabbir hossain, annajiat alim rasel","cryptography and security","in the realm of digital art and collectibles, nfts are sweeping the board. because of the massive sales to a new crypto audience, the livelihoods of digital artists are being transformed. it is no surprise that celebs are jumping on the bandwagon. it is a fact that nfts can be used in multiple ways, including digital artwork such as animation, character design, digital painting, collection of selfies or vlogs, and many more digital entities. as a result, they may be used to signify the possession of any specific object, whether it be digital or physical. nfts are digital tokens that may be used to indicate ownership of one of a-kind goods. for example, i can buy a shoe or t shirt from any store, and then if the store provides me the same 3d model of that t-shirt or shoe of the exact same design and color, it would be more connected with my feelings. they enable us to tokenize items such as artwork, valuables, and even real estate. nfts can only be owned by one person at a time, and they are protected by the ethereum blockchain no one can alter the ownership record or create a new nft. the word non-fungible can be used to describe items like your furniture, a song file, or your computer. it is impossible to substitute these goods with anything else because they each have their own distinct characteristics. the goal was to find all the existing implementations of non-fungible tokens in different fields of recent technology, so that an overall overview of future implementations of nft can be found and how it can be used to enrich user experiences.",2022-09-30
"43","clustering without knowing how to: application and evaluation","daniil likhobaba, daniil fedulov, dmitry ustalov","human-computer interaction","crowdsourcing allows running simple human intelligence tasks on a large crowd of workers, enabling solving problems for which it is difficult to formulate an algorithm or train a machine learning model in reasonable time. one of such problems is data clustering by an under-specified criterion that is simple for humans, but difficult for machines. in this demonstration paper, we build a crowdsourced system for image clustering and release its code under a free license at this https url. our experiments on two different image datasets, dresses from zalando's feidegger and shoes from the toloka shoes dataset, confirm that one can yield meaningful clusters with no machine learning algorithms purely with crowdsourcing.",2022-09-21
"44","an updated measurement of the hubble constant from near-infrared observations of type ia supernovae","lluís galbany, thomas de jaeger, adam g. riess, tomás e. müller-bravo, suhail dhawan, kim phan, maximillian stritzinger, emir karamehmetoglu, bruno leibundgut, erik peterson, w. d'arcy kenworthy, joel johansson, kate maguire, saurabh w. jha","cosmology and nongalactic astrophysics","we present a measurement of the hubble constant ($h_0$) using type ia supernova (sne ia) in the near-infrared (nir) from the recently updated sample of sne ia in nearby galaxies with distances measured via cepheid period-luminosity relations by the shoes project. we collect public near-infrared photometry of up to 19 calibrator sne ia and further 57 sne ia in the hubble flow ($z>0.01$), and directly measure their peak magnitudes in the $j$ and $h$ band by gaussian processes and spline interpolation. calibrator peak magnitudes together with cepheid-based distances are used to estimate the average absolute magnitude in each band, while hubble-flow sne are used to constrain the zero-point intercept of the magnitude-redshift relation. our baseline result of $h_0$ is $72.3\pm1.4$ (stat) $\pm1.4$ (syst) km s$^{-1}$ mpc$^{-1}$ in the $j$ band and $72.3\pm1.3$ (stat) $\pm1.4$ (syst) km s$^{-1}$ mpc$^{-1}$ in the $h$ band, where the systematic uncertainties include the standard deviation of up to 21 variations of the analysis, the 0.7\% distance scale systematic from shoes cepheid anchors, a photometric zeropoint systematic, and a cosmic variance systematic. our final measurement represents a measurement with a precision of 2.8\% in both bands. the variant with the largest change in $h_0$ is when limiting the sample to sne from csp and cfa programmes, noteworthy because these are the best calibrated, yielding $h_0\sim75$ km s$^{-1}$ mpc$^{-1}$ in both bands. we demonstrate stretch and reddening corrections are still useful in the nir to standardize sn ia nir peak magnitudes. based on our results, in order to improve the precision of the $h_0$ measurement with sne ia in the nir in the future, we would need to increase the number of calibrator sne ia, be able to extend the hubble-lemaître diagram to higher-z, and include standardization procedures to help reducing the nir intrinsic scatter.",2022-09-06
"45","t-person-gan: text-to-person image generation with identity-consistency and manifold mix-up","deyin liu, lin yuanbo wu, bo li, zongyuan ge","computer vision and pattern recognition","in this paper, we present an end-to-end approach to generate high-resolution person images conditioned on texts only. state-of-the-art text-to-image generation models are mainly designed for center-object generation, e.g., flowers and birds. unlike center-placed objects with similar shapes and orientation, person image generation is a more challenging task, for which we observe the followings: 1) the generated images for the same person exhibit visual details with identity-consistency, e.g., identity-related textures/clothes/shoes across the images, and 2) those images should be discriminant for being robust against the inter-person variations caused by visual ambiguities. to address the above challenges, we develop an effective generative model to produce person images with two novel mechanisms. in particular, our first mechanism (called t-person-gan-id) is to integrate the one-stream generator with an identity-preserving network such that the representations of generated data are regularized in their feature space to ensure the identity-consistency. the second mechanism (called t-person-gan-id-mm) is based on the manifold mix-up to produce mixed images via the linear interpolation across generated images from different manifold identities, and we further enforce such interpolated images to be linearly classified in the feature space. this amounts to learning a linear classification boundary that can perfectly separate images from two identities. our proposed method is empirically validated to achieve a remarkable improvement in text-to-person image generation. our architecture is orthogonal to stackgan++ , and focuses on person image generation, with all of them together to enrich the spectrum of gans for the image generation task. codes are available on \url{this https url}.",2022-08-18
"46","exploring mathematics with curvagon tiles","hanne kekkonen","history and overview","building blocks and tiles are an excellent way of learning about geometry and mathematics in general. there are several versions of tiles that are either snapped together or connected with magnets that can be used to introduce topics like volume, tessellations, and platonic solids. however, since these tiles are made of hard plastic, they are not very suitable for creating hyperbolic surfaces or shapes where the tiles need to bend. curvagons are flexible regular polygon building blocks that allow you to quickly build anything from hyperbolic surfaces and tori to dinosaurs and shoes. they can be used to introduce mathematical concepts from archimedean solids to gauss-bonnet theorem. you can also let your imagination run free and build whatever comes to mind.",2022-07-31
"47","bundle mcr: towards conversational bundle recommendation","zhankui he, handong zhao, tong yu, sungchul kim, fan du, julian mcauley","information retrieval","bundle recommender systems recommend sets of items (e.g., pants, shirt, and shoes) to users, but they often suffer from two issues: significant interaction sparsity and a large output space. in this work, we extend multi-round conversational recommendation (mcr) to alleviate these issues. mcr, which uses a conversational paradigm to elicit user interests by asking user preferences on tags (e.g., categories or attributes) and handling user feedback across multiple rounds, is an emerging recommendation setting to acquire user feedback and narrow down the output space, but has not been explored in the context of bundle recommendation. in this work, we propose a novel recommendation task named bundle mcr. we first propose a new framework to formulate bundle mcr as markov decision processes (mdps) with multiple agents, for user modeling, consultation and feedback handling in bundle contexts. under this framework, we propose a model architecture, called bundle bert (bunt) to (1) recommend items, (2) post questions and (3) manage conversations based on bundle-aware conversation states. moreover, to train bunt effectively, we propose a two-stage training strategy. in an offline pre-training stage, bunt is trained using multiple cloze tasks to mimic bundle interactions in conversations. then in an online fine-tuning stage, bunt agents are enhanced by user interactions. our experiments on multiple offline datasets as well as the human evaluation show the value of extending mcr frameworks to bundle settings and the effectiveness of our bunt design.",2022-07-26
"48","contrastive learning for interactive recommendation in fashion","karin sevegnani, arjun seshadri, tian wang, anurag beniwal, julian mcauley, alan lu, gerard medioni","information retrieval","recommender systems and search are both indispensable in facilitating personalization and ease of browsing in online fashion platforms. however, the two tools often operate independently, failing to combine the strengths of recommender systems to accurately capture user tastes with search systems' ability to process user queries. we propose a novel remedy to this problem by automatically recommending personalized fashion items based on a user-provided text request. our proposed model, whisperlite, uses contrastive learning to capture user intent from natural language text and improves the recommendation quality of fashion products. whisperlite combines the strength of clip embeddings with additional neural network layers for personalization, and is trained using a composite loss function based on binary cross entropy and contrastive loss. the model demonstrates a significant improvement in offline recommendation retrieval metrics when tested on a real-world dataset collected from an online retail fashion store, as well as widely used open-source datasets in different e-commerce domains, such as restaurants, movies and tv shows, clothing and shoe reviews. we additionally conduct a user study that captures user judgements on the relevance of the model's recommended items, confirming the relevancy of whisperlite's recommendations in an online setting.",2022-07-25
"49","unsupervised recognition of informative features via tensor network machine learning and quantum entanglement variations","sheng-chen bai, yi-cheng tang, shi-ju ran","quantum physics","given an image of a white shoe drawn on a blackboard, how are the white pixels deemed (say by human minds) to be informative for recognizing the shoe without any labeling information on the pixels? here we investigate such a ``white shoe'' recognition problem from the perspective of tensor network (tn) machine learning and quantum entanglement. utilizing a generative tn that captures the probability distribution of the features as quantum amplitudes, we propose an unsupervised recognition scheme of informative features with the variations of entanglement entropy (ee) caused by designed measurements. in this way, a given sample, where the values of its features are statistically meaningless, is mapped to the variations of ee that statistically characterize the gain of information. we show that the ee variations identify the features that are critical to recognize this specific sample, and the ee itself reveals the information distribution of the probabilities represented by the tn model. the signs of the variations further reveal the entanglement structures among the features. we test the validity of our scheme on a toy dataset of strip images, the mnist dataset of hand-drawn digits, the fashion-mnist dataset of the pictures of fashion articles, and the images of brain cells. our scheme opens the avenue to the quantum-inspired and interpreted unsupervised learning, which can be applied to, e.g., image segmentation and object detection.",2022-07-13
"50","identification and control of a soft-robotic bladder towards impedance-style haptic terrain display","nathan baum, mark a. minor","robotics","this paper evaluates the capabilities of a soft robotic pneumatic actuator derived from the terrain display haptic device, ""the smart shoe."" the bladder design of the smart shoe is upgraded to include a pressure supply and greater output flow capabilities. a bench top setup is created to rigorously test this new type of actuator. the bandwidth and stiffness capability of this new actuator are evaluated relative to forces and displacements encountered during human gait. four force vs. displacement profiles relevant to haptic terrain display are proposed and tested using sliding-mode tracking control. it was found that the actuator could sustain a stiffness similar to a soft-soled shoe on concrete, as well as other terrain (sand, dirt, etc.), while the bandwidth of 7.3 hz fell short of the goal bandwidth of 10 hz. compressions of the bladder done at 20 mm/s, which is similar to the speed of human gait, showed promising results in tracking a desired force trajectory. the results in this paper show this actuator is capable of displaying haptic terrain trajectories, providing a basis for futurep wearable haptic terrain display devices.",2022-07-12
"51","should social robots in retail manipulate customers?","oliver bendel, liliana margarida dos santos alves","robotics","against the backdrop of structural changes in the retail trade, social robots have found their way into retail stores and shopping malls in order to attract, welcome, and greet customers; to inform them, advise them, and persuade them to make a purchase. salespeople often have a broad knowledge of their product and rely on offering competent and honest advice, whether it be on shoes, clothing, or kitchen appliances. however, some frequently use sales tricks to secure purchases. the question arises of how consulting and sales robots should ""behave"". should they behave like human advisors and salespeople, i.e., occasionally manipulate customers? or should they be more honest and reliable than us? this article tries to answer these questions. after explaining the basics, it evaluates a study in this context and gives recommendations for companies that want to use consulting and sales robots. ultimately, fair, honest, and trustworthy robots in retail are a win-win situation for all concerned.",2022-06-17
"52","commonsense knowledge salience evaluation with a benchmark dataset in e-commerce","yincen qu, ningyu zhang, hui chen, zelin dai, zezhong xu, chengming wang, xiaoyu wang, qiang chen, huajun chen","computation and language","in e-commerce, the salience of commonsense knowledge (csk) is beneficial for widespread applications such as product search and recommendation. for example, when users search for ``running'' in e-commerce, they would like to find products highly related to running, such as ``running shoes'' rather than ``shoes''. nevertheless, many existing csk collections rank statements solely by confidence scores, and there is no information about which ones are salient from a human perspective. in this work, we define the task of supervised salience evaluation, where given a csk triple, the model is required to learn whether the triple is salient or not. in addition to formulating the new task, we also release a new benchmark dataset of salience evaluation in e-commerce (bsee) and hope to promote related research on commonsense knowledge salience evaluation. we conduct experiments in the dataset with several representative baseline models. the experimental results show that salience evaluation is a challenging task where models perform poorly on our evaluation set. we further propose a simple but effective approach, pmi-tuning, which shows promise for solving this novel problem. code is available in \url{this https url.",2022-05-22
"53","whole-body human kinematics estimation using dynamical inverse kinematics and contact-aided lie group kalman filter","prashanth ramadoss, lorenzo rapetti, yeshasvi tirupachuri, riccardo grieco, gianluca milani, enrico valli, stefano dafarra, silvio traversaro, daniele pucci","robotics","full-body motion estimation of a human through wearable sensing technologies is challenging in the absence of position sensors. this paper contributes to the development of a model-based whole-body kinematics estimation algorithm using wearable distributed inertial and force-torque sensing. this is done by extending the existing dynamical optimization-based inverse kinematics (ik) approach for joint state estimation, in cascade, to include a center of pressure-based contact detector and a contact-aided kalman filter on lie groups for floating base pose estimation. the proposed method is tested in an experimental scenario where a human equipped with a sensorized suit and shoes performs walking motions. the proposed method is demonstrated to obtain a reliable reconstruction of the whole-body human motion.",2022-05-16
"54","real-time virtual-try-on from a single example image through deep inverse graphics and learned differentiable renderers","robin kips, ruowei jiang, sileye ba, brendan duke, matthieu perrot, pietro gori, isabelle bloch","computer vision and pattern recognition","augmented reality applications have rapidly spread across online platforms, allowing consumers to virtually try-on a variety of products, such as makeup, hair dying, or shoes. however, parametrizing a renderer to synthesize realistic images of a given product remains a challenging task that requires expert knowledge. while recent work has introduced neural rendering methods for virtual try-on from example images, current approaches are based on large generative models that cannot be used in real-time on mobile devices. this calls for a hybrid method that combines the advantages of computer graphics and neural rendering approaches. in this paper we propose a novel framework based on deep learning to build a real-time inverse graphics encoder that learns to map a single example image into the parameter space of a given augmented reality rendering engine. our method leverages self-supervised learning and does not require labeled training data which makes it extendable to many virtual try-on applications. furthermore, most augmented reality renderers are not differentiable in practice due to algorithmic choices or implementation constraints to reach real-time on portable devices. to relax the need for a graphics-based differentiable renderer in inverse graphics problems, we introduce a trainable imitator module. our imitator is a generative network that learns to accurately reproduce the behavior of a given non-differentiable renderer. we propose a novel rendering sensitivity loss to train the imitator, which ensures that the network learns an accurate and continuous representation for each rendering parameter. our framework enables novel applications where consumers can virtually try-on a novel unknown product from an inspirational reference image on social media. it can also be used by graphics artists to automatically create realistic rendering from a reference product image.",2022-05-12
"55","creating a forensic database of shoeprints from online shoe tread photos","samia shafique, bailey kong, shu kong, charless c. fowlkes","computer vision and pattern recognition","shoe tread impressions are one of the most common types of evidence left at crime scenes. however, the utility of such evidence is limited by the lack of databases of footwear prints that cover the large and growing number of distinct shoe models. moreover, the database is preferred to contain the 3d shape, or depth, of shoe-tread photos so as to allow for extracting shoeprints to match a query (crime-scene) print. we propose to address this gap by leveraging shoe-tread photos collected by online retailers. the core challenge is to predict depth maps for these photos. as they do not have ground-truth 3d shapes allowing for training depth predictors, we exploit synthetic data that does. we develop a method termed shoerinsics that learns to predict depth by leveraging a mix of fully supervised synthetic data and unsupervised retail image data. in particular, we find domain adaptation and intrinsic image decomposition techniques effectively mitigate the synthetic-real domain gap and yield significantly better depth prediction. to validate our method, we introduce 2 validation sets consisting of shoe-tread image and print pairs and define a benchmarking protocol to quantify the quality of predicted depth. on this benchmark, shoerinsics outperforms existing methods of depth prediction and synthetic-to-real domain adaptation.",2022-05-04
"56","progressive learning for image retrieval with hybrid-modality queries","yida zhao, yuqing song, qin jin","computer vision and pattern recognition","image retrieval with hybrid-modality queries, also known as composing text and image for image retrieval (cti-ir), is a retrieval task where the search intention is expressed in a more complex query format, involving both vision and text modalities. for example, a target product image is searched using a reference product image along with text about changing certain attributes of the reference image as the query. it is a more challenging image retrieval task that requires both semantic space learning and cross-modal fusion. previous approaches that attempt to deal with both aspects achieve unsatisfactory performance. in this paper, we decompose the cti-ir task into a three-stage learning problem to progressively learn the complex knowledge for image retrieval with hybrid-modality queries. we first leverage the semantic embedding space for open-domain image-text retrieval, and then transfer the learned knowledge to the fashion-domain with fashion-related pre-training tasks. finally, we enhance the pre-trained model from single-query to hybrid-modality query for the cti-ir task. furthermore, as the contribution of individual modality in the hybrid-modality query varies for different retrieval scenarios, we propose a self-supervised adaptive weighting strategy to dynamically determine the importance of image and text in the hybrid-modality query for better retrieval. extensive experiments show that our proposed model significantly outperforms state-of-the-art methods in the mean of recall@k by 24.9% and 9.5% on the fashion-iq and shoes benchmark datasets respectively.",2022-04-24
"57","look for the change: learning object states and state-modifying actions from untrimmed web videos","tomáš souček, jean-baptiste alayrac, antoine miech, ivan laptev, josef sivic","computer vision and pattern recognition","human actions often induce changes of object states such as ""cutting an apple"", ""cleaning shoes"" or ""pouring coffee"". in this paper, we seek to temporally localize object states (e.g. ""empty"" and ""full"" cup) together with the corresponding state-modifying actions (""pouring coffee"") in long uncurated videos with minimal supervision. the contributions of this work are threefold. first, we develop a self-supervised model for jointly learning state-modifying actions together with the corresponding object states from an uncurated set of videos from the internet. the model is self-supervised by the causal ordering signal, i.e. initial object state $\rightarrow$ manipulating action $\rightarrow$ end state. second, to cope with noisy uncurated training data, our model incorporates a noise adaptive weighting module supervised by a small number of annotated still images, that allows to efficiently filter out irrelevant videos during training. third, we collect a new dataset with more than 2600 hours of video and 34 thousand changes of object states, and manually annotate a part of this data to validate our approach. our results demonstrate substantial improvements over prior work in both action and object state-recognition in video.",2022-03-22
"58","insetgan for full-body image generation","anna frühstück, krishna kumar singh, eli shechtman, niloy j. mitra, peter wonka, jingwan lu","computer vision and pattern recognition","while gans can produce photo-realistic images in ideal conditions for certain domains, the generation of full-body human images remains difficult due to the diversity of identities, hairstyles, clothing, and the variance in pose. instead of modeling this complex domain with a single gan, we propose a novel method to combine multiple pretrained gans, where one gan generates a global canvas (e.g., human body) and a set of specialized gans, or insets, focus on different parts (e.g., faces, shoes) that can be seamlessly inserted onto the global canvas. we model the problem as jointly exploring the respective latent spaces such that the generated images can be combined, by inserting the parts from the specialized generators onto the global canvas, without introducing seams. we demonstrate the setup by combining a full body gan with a dedicated high-quality face gan to produce plausible-looking humans. we evaluate our results with quantitative metrics and user studies.",2022-03-14
"59","watch me calibrate my force-sensing shoes!","yuanfeng han, boren jiang, gregory s. chirikjian","robotics","this paper presents a novel method for smaller-sized humanoid robots to self-calibrate their foot force sensors. the method consists of two steps: 1. the robot is commanded to move along planned whole-body trajectories in different double support configurations. 2. the sensor parameters are determined by minimizing the error between the measured and modeled center of pressure (cop) and ground reaction force (grf) during the robot's movement using optimization. this is the first proposed autonomous calibration method for foot force-sensing devices in smaller humanoid robots. furthermore, we introduce a high-accuracy manual calibration method to establish cop ground truth, which is used to validate the measured cop using self-calibration. the results show that the self-calibration can accurately estimate cop and grf without any manual intervention. our method is demonstrated using a nao humanoid platform and our previously presented force-sensing shoes.",2022-02-26
"60","cinderella's shoe won't fit soundarya: an audit of facial processing tools on indian faces","gaurav jain, smriti parsheera","computer vision and pattern recognition","the increasing adoption of facial processing systems in india is fraught with concerns of privacy, transparency, accountability, and missing procedural safeguards. at the same time, we also know very little about how these technologies perform on the diverse features, characteristics, and skin tones of india's 1.34 billion-plus population. in this paper, we test the face detection and facial analysis functions of four commercial facial processing tools on a dataset of indian faces. the tools display varying error rates in the face detection and gender and age classification functions. the gender classification error rate for indian female faces is consistently higher compared to that of males -- the highest female error rate being 14.68%. in some cases, this error rate is much higher than that shown by previous studies for females of other nationalities. age classification errors are also high. despite taking into account an acceptable error margin of plus or minus 10 years from a person's actual age, age prediction failures are in the range of 14.3% to 42.2%. these findings point to the limited accuracy of facial processing tools, particularly for certain demographic groups, and the need for more critical thinking before adopting such systems.",2021-12-17
"61","trip: refining image-to-image translation via rival preferences","yinghua yao, yuangang pan, ivor w. tsang, xin yao","machine learning","relative attribute (ra), referring to the preference over two images on the strength of a specific attribute, can enable fine-grained image-to-image translation due to its rich semantic information. existing work based on ras however failed to reconcile the goal for fine-grained translation and the goal for high-quality generation. we propose a new model trip to coordinate these two goals for high-quality fine-grained translation. in particular, we simultaneously train two modules: a generator that translates an input image to the desired image with smooth subtle changes with respect to the interested attributes; and a ranker that ranks rival preferences consisting of the input image and the desired image. rival preferences refer to the adversarial ranking process: (1) the ranker thinks no difference between the desired image and the input image in terms of the desired attributes; (2) the generator fools the ranker to believe that the desired image changes the attributes over the input image as desired. ras over pairs of real images are introduced to guide the ranker to rank image pairs regarding the interested attributes only. with an effective ranker, the generator would ""win"" the adversarial game by producing high-quality images that present desired changes over the attributes compared to the input image. the experiments on two face image datasets and one shoe image dataset demonstrate that our trip achieves state-of-art results in generating high-fidelity images which exhibit smooth changes over the interested attributes.",2021-11-26
"62","boundary condition induced passive chaotic mixing in straight microchannels","habilou ouro-koura, ayobami ogunmolasuyi, othman suleiman, jaylah easter, yasmin roye, kausik s das","fluid dynamics","mixing in low reynolds number flow is difficult because in this laminar regime it occurs mostly via slow molecular diffusion. this letter reports a simple way to significantly enhance low reynolds number passive microfluidic flow mixing in a straight microchannel by introducing asymmetric wetting boundary conditions on the floor of the channel. we show experimentally and numerically that by creating carefully chosen hydrophobic slip patterns on the floor of the channels we can introduce stretching, folding and/or recirculation in the flowing fluid volume, the essential elements to achieve mixing in absence of turbulence. we also show that there are two distinctive pathways to produce homogeneous mixing in microchannels induced by the inhomogeneity of the boundary conditions. it can be achieved either by: 1) introducing stretching, folding and twisting of fluid volumes, i.e., via a horse-shoe type transformation map, or 2) by creating chaotic advection, through manipulation of the hydrophobic boundary patterns on the floor of the channels. we have also shown that by superposing stretching and folding with chaotic advection, mixing can be optimized by significantly reducing mixing length, thereby opening up new design opportunities for simple yet efficient passive microfluidic reactors.",2021-11-06
